"","subID","cond_level","correct","RT","group"
"1",1,"y",1,1131,"Use Color"
"2",1,"y",1,1276,"Use Color"
"3",1,"y",1,885,"Use Color"
"4",1,"y",1,830,"Use Color"
"5",1,"y",1,600,"Use Color"
"6",1,"y",1,878,"Use Color"
"7",1,"y",1,751,"Use Color"
"8",1,"y",1,730,"Use Color"
"9",1,"y",1,600,"Use Color"
"10",1,"i",1,1333,"Use Color"
"11",1,"i",1,967,"Use Color"
"12",1,"y",1,601,"Use Color"
"13",1,"i",1,1146,"Use Color"
"14",1,"y",1,811,"Use Color"
"15",1,"i",1,714,"Use Color"
"16",1,"y",1,694,"Use Color"
"17",1,"i",1,689,"Use Color"
"18",1,"y",1,616,"Use Color"
"19",1,"y",1,605,"Use Color"
"20",1,"y",1,691,"Use Color"
"21",1,"i",1,676,"Use Color"
"22",1,"y",1,646,"Use Color"
"23",1,"y",1,515,"Use Color"
"24",1,"i",1,716,"Use Color"
"25",1,"i",1,712,"Use Color"
"26",1,"i",1,586,"Use Color"
"27",1,"y",1,632,"Use Color"
"28",1,"i",1,727,"Use Color"
"29",1,"y",1,629,"Use Color"
"30",1,"i",1,821,"Use Color"
"31",1,"y",1,576,"Use Color"
"32",1,"i",1,680,"Use Color"
"33",1,"y",1,571,"Use Color"
"34",1,"y",1,614,"Use Color"
"35",1,"i",1,882,"Use Color"
"36",1,"i",1,757,"Use Color"
"37",1,"i",1,672,"Use Color"
"38",1,"i",1,597,"Use Color"
"39",1,"y",1,712,"Use Color"
"40",1,"y",1,592,"Use Color"
"41",1,"y",1,533,"Use Color"
"42",1,"i",1,631,"Use Color"
"43",1,"i",1,668,"Use Color"
"44",1,"y",1,668,"Use Color"
"45",1,"y",1,524,"Use Color"
"46",1,"y",1,532,"Use Color"
"47",1,"i",1,729,"Use Color"
"48",1,"y",1,543,"Use Color"
"49",1,"i",1,557,"Use Color"
"50",1,"i",1,635,"Use Color"
"51",1,"i",1,725,"Use Color"
"52",1,"i",1,552,"Use Color"
"53",1,"y",1,564,"Use Color"
"54",1,"y",1,798,"Use Color"
"55",1,"i",1,975,"Use Color"
"56",1,"i",1,765,"Use Color"
"57",1,"y",1,627,"Use Color"
"58",1,"y",1,483,"Use Color"
"59",1,"i",1,588,"Use Color"
"60",1,"i",1,705,"Use Color"
"61",1,"y",1,616,"Use Color"
"62",1,"i",1,497,"Use Color"
"63",1,"i",1,607,"Use Color"
"64",1,"i",1,697,"Use Color"
"65",1,"i",1,582,"Use Color"
"66",1,"y",1,605,"Use Color"
"67",1,"y",1,552,"Use Color"
"68",1,"i",1,589,"Use Color"
"69",1,"y",1,535,"Use Color"
"70",1,"y",1,843,"Use Color"
"71",1,"i",1,550,"Use Color"
"72",1,"i",1,542,"Use Color"
"73",1,"i",1,520,"Use Color"
"74",1,"i",1,628,"Use Color"
"75",1,"y",1,517,"Use Color"
"76",1,"i",1,471,"Use Color"
"77",1,"i",1,746,"Use Color"
"78",1,"i",1,684,"Use Color"
"79",1,"y",1,513,"Use Color"
"80",1,"y",1,640,"Use Color"
"81",1,"y",1,1411,"Use Color"
"82",1,"i",1,1075,"Use Color"
"83",1,"y",1,599,"Use Color"
"84",1,"i",1,791,"Use Color"
"85",1,"i",1,609,"Use Color"
"86",1,"y",1,647,"Use Color"
"87",1,"i",1,516,"Use Color"
"88",1,"y",1,635,"Use Color"
"89",1,"y",1,464,"Use Color"
"90",1,"i",1,562,"Use Color"
"91",1,"y",1,502,"Use Color"
"92",1,"i",1,1424,"Use Color"
"93",1,"i",1,1004,"Use Color"
"94",1,"y",0,779,"Use Color"
"95",1,"i",1,587,"Use Color"
"96",1,"y",1,628,"Use Color"
"97",1,"i",1,640,"Use Color"
"98",1,"i",1,545,"Use Color"
"99",1,"y",1,603,"Use Color"
"100",1,"y",1,669,"Use Color"
"101",1,"y",1,649,"Use Color"
"102",1,"y",1,513,"Use Color"
"103",1,"i",1,574,"Use Color"
"104",1,"i",1,638,"Use Color"
"105",1,"y",1,591,"Use Color"
"106",1,"y",1,661,"Use Color"
"107",1,"y",1,569,"Use Color"
"108",1,"i",1,546,"Use Color"
"109",1,"y",1,473,"Use Color"
"110",1,"y",1,834,"Use Color"
"111",1,"y",1,497,"Use Color"
"112",1,"i",1,637,"Use Color"
"113",1,"i",1,601,"Use Color"
"114",1,"y",1,616,"Use Color"
"115",1,"i",1,956,"Use Color"
"116",1,"i",1,656,"Use Color"
"117",1,"y",0,1432,"Use Color"
"118",1,"y",1,546,"Use Color"
"119",1,"y",1,490,"Use Color"
"120",1,"i",1,564,"Use Color"
"121",1,"y",1,486,"Use Color"
"122",1,"y",1,544,"Use Color"
"123",1,"y",1,584,"Use Color"
"124",1,"i",1,657,"Use Color"
"125",1,"i",1,436,"Use Color"
"126",1,"i",1,430,"Use Color"
"127",1,"i",1,593,"Use Color"
"128",1,"y",0,534,"Use Color"
"129",1,"i",1,585,"Use Color"
"130",1,"i",1,742,"Use Color"
"131",1,"i",1,522,"Use Color"
"132",1,"y",1,529,"Use Color"
"133",1,"y",1,459,"Use Color"
"134",1,"y",1,591,"Use Color"
