subID,repeat,neutral,norepeat
1,753.2727273,643.2631579,687.6052632
2,837.3076923,764.6315789,867
3,846.3243243,810.6585366,825.2619048
4,1016.551724,940.9189189,974.8490566
5,957.6097561,838.625,992.59375
6,899.3783784,834.2093023,882.3170732
7,921.6410256,818.6111111,900.1111111
8,673.0512821,633.3055556,688.3488372
9,1119.767442,1004.325,1043.297297
10,904.2727273,826.8157895,875.5925926
11,714.2368421,636.96,611.8214286
12,775.6216216,749.625,769.1111111
13,731.255814,681.804878,681.4285714
14,780.8809524,703.125,750.8918919
15,828.53125,784.7142857,827.6578947
16,847.1578947,739.0512821,817.8333333
17,856.0625,766.1578947,801.2
18,810.8947368,731.2222222,757.025
19,773.0526316,749.9736842,761.3513514
20,968.4473684,963.8611111,906.547619
21,1033.456522,965.2702703,1019.761905
22,893.0322581,818.9772727,893.1555556
23,822,741.1764706,857.1351351
24,675.0434783,607.1621622,629.71875
25,764.9310345,651.3103448,720.2592593
26,834.5609756,870,861.6666667
27,1101.897436,976.35,1023.465116
28,1021,980.9166667,1142.658537
29,881.7826087,806.047619,864.6756757
30,1069.108108,1023.348837,1090.083333
31,845.4102564,726.375,779.3157895
32,965.7027027,1015.054054,994.5106383
33,861.2040816,779.1388889,843.969697
34,1077.939394,1021.184211,1119.540541
35,823.3589744,757.1351351,802.3469388
36,809.1463415,788.5365854,814.4042553
37,1153.09375,1176.820513,1236.833333
38,850.516129,843.5121951,876.9268293
39,840.5609756,775.5454545,814.4090909
40,810.6666667,769.4857143,814.8723404
41,732.6666667,713.1351351,755.05
42,895.1176471,841.4042553,921.6060606
43,770.3142857,752.3846154,754
44,781.6363636,663.3170732,699.9090909
45,801.4333333,676.2647059,834.4074074
46,1453,1405.731707,1399.189189
47,798.372093,712.3428571,816.7948718
48,785.6875,757.9047619,733.5555556
49,819.8205128,803.6486486,769.40625
50,797.4324324,833.7894737,746.75
51,812.9090909,712.7297297,754.2619048
52,793.4324324,808.7368421,841.0555556
53,690.1956522,642.2051282,718.7419355
54,962.7560976,884.483871,1034.264706
55,807.3255814,766.5227273,765.575
56,938.6764706,811.9444444,822.8
57,1531.794118,1542.821429,1368.125
58,868.7111111,769.3823529,804.483871
59,814.14,746.1395349,793.1351351
60,777.7297297,721.8723404,761.7352941
61,913.106383,874,918.6216216
62,896.8947368,794.5952381,810.9473684
63,976,858.8611111,961.9166667
64,660.8709677,633.88,627.0769231
65,688.6097561,669.78125,722.4222222
66,745.7,677.0909091,687
67,1271.772727,1204.304348,1230.821429
68,1018.857143,944.55,1007.853659
69,867.3055556,863.1904762,920.275
