subID,blue_Target1,blue_Target3,neutral_Target1,neutral_Target2,neutral_Target3,red_Target1,red_Target2,yellow_Target2,yellow_Target3
1,662,694.3,647.1052632,635.7368421,607.4117647,809.6315789,671.1111111,682.8947368,734.7368421
2,830.4375,814.0555556,802.4736842,713.0526316,822.0555556,779.25,785.0769231,843.1875,803.7142857
3,830,821.05,825.7,743.3684211,847.4444444,869.5,877.9473684,824.4,816.7368421
4,870.7368421,901.1111111,899.35,890.7,876.8947368,946.25,1136.5,1010.75,946.65
5,966.9,890.6666667,799.2105263,822,821,1003.2,873.7058824,1011.5,908.7647059
6,876.0555556,863.85,839,832.5,834.25,932.8888889,877.95,963.35,788
7,887.3684211,823.4117647,797.6470588,748.3684211,864.4705882,788.45,943.15,946.8888889,988.7222222
8,702.85,652.8421053,647.3,627.2,644.3684211,674.8421053,666.2105263,698.8947368,654.8947368
9,987.2631579,998.5882353,1052.2,942.8421053,957.7368421,1038.666667,1049.352941,1126.2,1162.15
10,893.75,855.6315789,850.4,808.5,828,958.4736842,861.3,802.6315789,874.5
11,698.75,609.25,594.2666667,608.625,580.9333333,663.5,674.75,681.8571429,662.1176471
12,775.9,739.75,745.2105263,767,663.5,698.4,833.7,770.05,724
13,734.8421053,663.2352941,688.85,688.5555556,649.6315789,707.3,692,727.6470588,699.75
14,780.6875,688.7777778,730.6,668.2142857,694.5,785.3684211,694.0588235,781.0555556,719.5
15,874.1578947,736.7368421,791.9,709.8333333,754.1,821.3684211,759.05,899.9,775.3684211
16,803.2105263,861.0526316,741.6,680.9473684,725.15,811.2,767.3,792,794.6842105
17,849.7368421,762.05,749.95,745.4210526,790.7894737,776.15,872.3157895,846.75,790.95
18,793.95,681.55,770.9473684,714.75,698.05,814.75,796.8888889,803.3,771.9473684
19,820.4444444,735.5263158,716.15,722.35,735.4,747.7,782.7368421,697.0555556,736.35
20,948.3157895,907.4,985.9473684,942.4705882,870.8333333,970.1875,971.1,898.2777778,931.8
21,1034.3,1041.894737,948.3684211,924.65,948.65,1008.15,952.85,1104.25,989.75
22,952.5263158,866.8947368,844.8421053,856.45,817.7894737,819.0526316,881.875,898,843.95
23,787.6666667,732,800.9375,682.1666667,732.6875,991.375,744.4736842,910.3157895,857.5714286
24,672.8333333,614.4210526,649.1052632,571.5,567.8421053,585.7058824,599.4736842,710.2,653.75
25,732.4615385,605.9375,656.4,647.5,659,762.2142857,732.5882353,813.5,752.8
26,774.7777778,843.75,823.2631579,828.1,911.2352941,845.8947368,843.8421053,896.55,846.2941176
27,979.6315789,1046.263158,860.1578947,1068.315789,916.3,1055.631579,1052.1,1062.2,946.95
28,1092.842105,1102.631579,982.3333333,1033.111111,1096.052632,1047.5,1077.578947,1101.777778,1073.05
29,869.3,833.9,807.7222222,762.6,806.85,813.15,868.8421053,933.4,910.2941176
30,1069.2,1020.947368,1068.65,1000.55,998.85,1007.95,1146.631579,1087.05,1090.05
31,863.3,754.9473684,705.25,729.8947368,711.45,785.3684211,816.2105263,784.15,757
32,1068.1,1036.5,906.4,1017.684211,972.4210526,1002,957.8888889,1007,935.1875
33,794.85,812.9473684,783.15,784.1,795.8421053,804.2,842.0526316,922.2105263,870
34,998.8947368,1021.5625,966.7368421,1023.526316,1041.875,1084.894737,1218.666667,1032.111111,1027.722222
35,786.1,783.3684211,766.6842105,766.1052632,745.7,823.75,841.4,771.2,784.6
36,751.1764706,770.55,820.7,747.5,755.75,790.05,825.7222222,819.8421053,832.0555556
37,1180.5,1085.421053,1077.7,1116.8,1191.684211,1194.6,1222.25,1252.444444,1150.888889
38,874.9473684,791.0526316,860.8947368,742.8333333,826.3684211,848.8235294,813.6315789,935.8888889,910.3
39,838.65,722.1578947,720.1052632,735.3684211,765.8947368,835.9444444,869.95,808.1578947,859.1052632
40,766.3684211,799.1,802.4736842,732.7,751.65,773.8,844.05,810.4210526,812.75
41,761.3684211,755.15,727.7,724.6842105,694.0526316,758.15,694.95,737.7058824,782.05
42,864.2352941,847.0526316,849.45,890.75,829.65,804.1052632,973.1111111,913.4210526,921.2352941
43,824.4444444,751.7222222,737.35,722.6315789,734.95,741.15,791.5789474,745.95,762.45
44,689.35,695.95,698.8333333,702.2777778,642.3888889,686,762.2,851.2941176,679.9444444
45,777,677.5333333,689.7142857,696.8235294,701.9333333,795.8666667,886.3333333,800.2857143,729.7692308
46,1342.578947,1238.947368,1364.631579,1479.473684,1218.05,1270.842105,1462.25,1454.4,1348.05
47,785.6842105,748.5,634.8947368,712.05,706.2,756.95,811.4,871.9444444,737.8888889
48,775.85,733.75,760.4210526,736.6,747.4,722.3684211,729.65,750,737.7222222
49,723.5,806.7058824,726.0666667,881.6875,719.4666667,753.4117647,822.1875,870,765
