subID,1a_common,1a_neutral,1a_unique,1b_common,1b_neutral,1b_unique
1,826.4137931,667.1551724,724.4833333,957.6097561,838.625,992.59375
2,801.9,724.4333333,737.3,673.0512821,633.3055556,688.3488372
3,816.0877193,764.1,755.9333333,904.2727273,826.8157895,875.5925926
4,844.0181818,800.3921569,813.4117647,714.2368421,636.96,611.8214286
5,1098.446429,949.1454545,923.7924528,731.255814,681.804878,681.4285714
6,970.7894737,904.7068966,875.8,828.53125,784.7142857,827.6578947
7,855.6333333,736.1186441,735.2931034,847.1578947,739.0512821,817.8333333
8,750.5,705.5789474,730.7457627,968.4473684,963.8611111,906.547619
9,879.1086957,792.5490196,847.2391304,675.0434783,607.1621622,629.71875
10,912.1607143,826.2833333,927.7413793,764.9310345,651.3103448,720.2592593
11,834.64,766.1020408,907.4909091,1021,980.9166667,1142.658537
12,1114.578947,1022.254237,1156.553571,1153.09375,1176.820513,1236.833333
13,1068.111111,1128.755556,1018.044444,732.6666667,713.1351351,755.05
14,704.9444444,601.5636364,621.9122807,770.3142857,752.3846154,754
15,684.4117647,658.72,679.8909091,797.4324324,833.7894737,746.75
16,1109.38,1104,1129.411765,962.7560976,884.483871,1034.264706
17,828.8333333,835.2542373,884.5084746,807.3255814,766.5227273,765.575
18,801.6034483,784.9285714,798.6666667,938.6764706,811.9444444,822.8
19,690.8679245,647.245614,720.4642857,1531.794118,1542.821429,1368.125
20,960.0961538,852.5454545,813.754717,814.14,746.1395349,793.1351351
21,651.4615385,648.1730769,689.6808511,777.7297297,721.8723404,761.7352941
22,780.4545455,657.3898305,701.7166667,660.8709677,633.88,627.0769231
23,937.5689655,915.5517241,902.0833333,688.6097561,669.78125,722.4222222
24,708.862069,701.5689655,738.8644068,745.7,677.0909091,687
25,812.9090909,837,912.0392157,753.2727273,643.2631579,687.6052632
26,1028.576923,936.7777778,1027.068966,837.3076923,764.6315789,867
27,868.7678571,789.462963,843.2181818,846.3243243,810.6585366,825.2619048
28,801.9591837,838.25,824.04,1016.551724,940.9189189,974.8490566
29,977.2631579,988.1551724,930.5084746,899.3783784,834.2093023,882.3170732
30,688.6964286,683.5344828,766.7118644,921.6410256,818.6111111,900.1111111
31,981.3913043,938.0444444,1046.088889,1119.767442,1004.325,1043.297297
32,843.2372881,772.2881356,787.7833333,775.6216216,749.625,769.1111111
33,748.7833333,700.559322,723.5666667,780.8809524,703.125,750.8918919
34,990.45,950.4745763,955.122807,856.0625,766.1578947,801.2
35,938.2765957,1042.565217,961.8461538,810.8947368,731.2222222,757.025
36,1042.982456,1109.175439,980.875,773.0526316,749.9736842,761.3513514
37,683.7857143,649.7407407,667.7636364,1033.456522,965.2702703,1019.761905
38,774.9107143,613.3220339,638.7931034,893.0322581,818.9772727,893.1555556
39,616.3207547,534.4259259,568.2142857,822,741.1764706,857.1351351
40,767.0677966,703.0508475,735.3833333,834.5609756,870,861.6666667
41,770.097561,750,719.9574468,1101.897436,976.35,1023.465116
42,815.14,764.2363636,753.12,881.7826087,806.047619,864.6756757
43,780.2166667,671.3166667,710.0338983,1069.108108,1023.348837,1090.083333
44,715.4,713.6851852,777.8448276,845.4102564,726.375,779.3157895
45,666.6140351,598.8928571,625.9655172,965.7027027,1015.054054,994.5106383
